"name","del","address"
"ADISHAKTYATMAKA SRI ANNAPOORNESHWARI DEVASTHANADA RAKSHANA PRATHISTHANA","BK IV 22/1979-80, CHIKMAGALUR (KARNATAKA)","NO.1, CAR STREET, HORANADU"
"ASHA FOUNDATION","BK iv 25/2014-15, CHICKBALLAPUR (KARNATAKA)","ASHA FOUNDATION(R) DOOR NO.501.MANCHANABALE(V) CHICKBALLAPUR TALUK AND DIST KARNATAKA STATE INDIA"
"ADARSH EDUCATION AND CHARITABLE TRUST","BK IV 82/15-16, Shimoga (KARNATAKA)","No 95, Vijaya 1st Floor, Behind Inchara school, Al- harim Layout, Gopala Shimoga."
"Artsparks Foundation","BK IV BNG- BMH 84/2015-16, BANGALORE (KARNATAKA)","18 2nd Floor 5th Cross Road, KHB Colony 5th Block Kormanagala ,Bengaluru , Karnataka 560034"
"ABILITTY UNLIMITED TRUST","BK IV BNG-BMH 124/2017-18, Bangalore (KARNATAKA)","T004, Zed Enclave, Singasandra, Hosur Main Road"
"ABU BAKAR SIDDIQ (R.Z)TRUST","BK IV BNG-BMH 837/2023-24, BANGALORE (KARNATAKA)","NO.50, KHATHA NO.72/50/3, MANGAMMANAPALYA, BOMMANAHALLI BANGALORE SOUTH TALUK BANGALORE KARNATAKA 560068 IN"
"ABHINITHA SEVA CHARITABLE TRUST","BK/IV/269/2020-21, DODDDABIDARAKALLU (KARNATAKA)","ABHINITHA SEVA CHARITABLE TRUSTMRS.RAMA W/O HANUMANTHARAYAPPA. no.3044.ramaiah siddaganga layout , byraeshwara nagar,doddabidarakallu,banglore north-560073"
"ARUNA EDUCATIONAL TRUST R","BK4 64/23/25, Bangalore (KARNATAKA)","MANCHANAHALLI ROAD NEAR NAGALINESHWARA TEMPLE KUVEMPU NAGARA ATTIBELE"
"AARAMBHA EDUCATIONAL TRUST","BKIV 571/23-24, Bengaluru (KARNATAKA)","No. 472, 4th Cross, 2nd Block, 80 ft road, BDA Layoutt, Opp Platinum Lifestyle apartment, JP Nagar 8th phase, Bangalore- 560083"
"ARUNODAYA EDUCATIONAL TRUST","BK-IV-1/2008/09, Shimoga (KARNATAKA)","ARUNODAYA EDUCATIONAL TRUST A.J.arcade 2nd floor, Shivamurthy Circule Shivamoga Pin;577201"
"A.B. EDUCATION TRUST","BK-IV-102/14-15, Bangalore (KARNATAKA)","No. 16, 2nd Floor, Main, Kalathur Layout, Jalahalli, Bangalore560013"
"Accelerate India Foundation Trust","BK-IV-155/17-18, Bangalore (KARNATAKA)","92, 2nd Main, 2nd Cross, CIL Layout, Sanjaynagar, Bangalore-560094"
"AADHYA CHARITABLE TRUST","BK-IV-173/2018-19, Bangalore (KARNATAKA)","C/O Somashekara, No:22,Sapthagiri Layout, Doddabidrakallu,Bangalore-North, Nagasandra-Bangalore-560073"
"AARUNYA SEVA TRUST","BK-IV-255-2016-17, banglore urban (KARNATAKA)","205, Sir. M. Vishweshwaraiah Layout,1st block, near K.H.B.platinum housing board apartment road,B-560056"
"AD LIFE TRUST","BK-IV-269-2019-20, BANGLORE (KARNATAKA)","NO. 82, 3rd Floor , 1st Cross Road , S.T Bed, 4th Block , Koramangala, Banglore , 560034"
"ADMS EDUCATIONAL TRUST","BKIV271/2016-17, Bangalore (KARNATAKA)","P3-604, SNN Raj Serenity, Yellanahally, Begur Koppa Road"
"ASHALAYA","BKIV2730910, BANGALORE (KARNATAKA)","Ashalaya, Katherine Nivas, Chikkajala Village, Jala Hobli, Vidyanagar Post, Bangalore North, 560077"
"AARON'S NEST","BK-IV-444/15-16, Bangalore (KARNATAKA)","76 VELLARA COTTAGE DAVID CHICOROAD KOTHANUR BANGALORE"
"ARTMA FOUNDATION","BK-IV-614/2019, Bangalore (KARNATAKA)","161, Sobha Lavender, off Outer Ring Road, Bellandur"
"AARZOO FOUNDATION TRUST","BK-IV-799-2019-20, BANGALORE (KARNATAKA)","S01, SMART PLAZA, COLES ROAD , FRAZER TOWN BANGALORE560005"
"ASHA KIRANA FOUNDATION","BKIV97202122, BANGALORE (KARNATAKA)","17 4TH MAIN KALYANANAGARA MUDALAPALYA NAGARABHAVI"
"ARUNODAYA NETWORK OF POSITIVE PEOPLE","BLU S1249-2005-06, Bangalore (KARNATAKA)","KC General Hospital5th CrossMalleshwaram, Behind Police stationBengalore-560003"
"ABAI","BLU-S394/2006-07, Bangalore (KARNATAKA)","No 73/1, Nalapad Brigade Centre, Mahadevapura, Whitefield Main Road"
"AARYAVARDHAN EDUCATION TRUST","BLY-4-00045-2024-25, Ballari (KARNATAKA)","MSG Plaza Ground Floor Door No 02/A Corporation Ward No 22 Opposite 5th Cross Renuka Nagar Talur Road Ballari 583101 Karnataka"
"ACHARYANET FOUNDATION","BMH-4-00152-2023-24, BANGALORE (KARNATAKA)","B08 chaitanya smaran, whitefield hoskote road, Kannamangala, Bangalore 560067"
"ABEEDA BEEVI MEMORIAL TRUST","BNG (U) BYP 578, BANGALORE (KARNATAKA)","508, Bangalore North, Sahakaranagar P.O S.O,BANGALORE,Karnataka,INDIA,560092"
"arthritis foundation of asia","BNG(U)-207/2010-2011, BANGALORE (KARNATAKA)","672 13 th cross 2t th main1st sector HSR lay outbangalore 560102"
"ACTS OF HOPE","BNG(U)-BLR(S)/587 2006-07, Bangalore (KARNATAKA)","Acts of Hope Lovedale Layout, Kasavanagalli, Carmelaram Post, Bangalore560 035"
"A ONE EDUCATIONAL WELFARE TRUST","BNG(U)BSKJ 136/2011-12, BANGALORE (KARNATAKA)","No: 117, 6th Main Road, 6th Cross, Near Quba Masjid, Yarab Nagar, Banashankari, Bangalore560070"
"ADVAITH FOUNDATION","BNG(U)JNR 169/2004-2 004/BK IV, Bangalore (KARNATAKA)","SURVEY NO 52 LAKSHMI PURA VILLAGE SAKALAWARA POST, OFF BG ROAD"
"AAROCARE","BNG(U)JNRI915/2015-2016/BKIV, BANGALORE (KARNATAKA)","Old No.2, New No.109/1 10th Main, Opp. Madhavan ParkJayanagar 3rd Block, Bangalore"
"Adiksha Foundation","BNG(U)SHR 146 21-22 BK IV 1-24, Bengaluru (KARNATAKA)","No 302 Prosper Lakeshore Apartment, 41st Main 4th Cross BTM Layout 2nd stage, Bangalore South, Karnataka-560068"
"ABUNDANT LIFE FOR ALL MINISTRIES","BNG(U)YLNK/93/2002-2003, BANGALORE (KARNATAKA)","NO.83 I MAIN 24TH CROSS MARUTHI NAGAR YELAHANKA BANGALORE-64"
"A F CHARITABLE TRUST","BNS400031-2013-14 , Bangalore (KARNATAKA)","178,178/1 179 Near Government School Yerappanahalli Bengaluru"
"ADVANTAGE ELDER CARE TRUST","BNS-4-00277/2009-10, Bangalore (KARNATAKA)","No.45/2, Behind CSI Colony, Kothanur"
"ADARANE CHARITABLE TRUST","BNS-4-00554, Bangalore (KARNATAKA)","No. 732, 2ndCross, RK Hegde Nagar, SRK Nagar PO"
"ADONAI MISSION CHARITABLE TRUST","BNS-4-00815-2021-22, BANGALORE (KARNATAKA)","No.24 Banaswadi Main Road, Maruthi Sevanagar Post, Bangalore560033"
"ABHAYAS PRESCHOOL EDUCATIONAL TRUST","BNS-IV-162-22-23, BANGALORE (KARNATAKA)","273 3RD CROSS MANJUNATHA LAYOUT MARATHAHALLI BANGALORE-560037"
"A Plus Institute","BOOK 4 104 2017-2018, Gulbarga (KARNATAKA)","H. no-3-1011 Siddaganga tower 2nd floor near big bazar STBT road Kalaburagi. 585101"
"Aryan gaushala trust","Book IV 206/2019-20, Gulbarga (KARNATAKA)","PLOT NO 164,165 JANATA LAYOUT KARUNESHWAR NAGAR NEW JEWARGI ROAD GULBARGA"
"AASARE SEVA SAMSTHE","BOOK IV 294/13-14, ANEKAL TALUK (KARNATAKA)","NO 240 JANATHA COLONY KAVALAHOSAHALLI KASABA HOBLI SIDHOSAKOTE POST ANEKAL TQ"
"ABDUL NABI EDUCATIONAL CHARITABLE AND SOCIAL WELFARE TRUST","BooK IV No 99/2011/12, KALABURAGI (KARNATAKA)","H NO 7-1202/36/A GESUDARAZ COLONY ROZA B GULBARGA"
"Arthasadhana Foundation","BOOK IV-120/21-22, Bangalore (KARNATAKA)","50, 17th Main, Priyadarshini Layout, Bharat Nagar 2nd Stage, Bangalore-560091"
"AATMANIRBHAR FOUNDATION OF INDIA","BOOK4103/2020, BANGALORE (KARNATAKA)","166/167, PHASE 2 , ADARSH PALM MEADOWS , WHITEFIELD"
"AAFIEA CHARITABLE TRUST","BOOK-IV/325/2024-25, Bangalore (KARNATAKA)","No 434 MCECHS 1st phase 4th Cross 1st Main"
"AASHAYEIN FOUNDATION","BSG-4-00059-2007-08, BANGALORE (KARNATAKA)","711,9th A Main Road, First Stage"
"A AA E EE EMPOWERS","BSG-4-00139-2024-25, Bangalore (KARNATAKA)","Shree Guru Krupa 352,76th Cross,78th Main,1st stage Kumaraswamy Layout, Bangalore, Karnataka-560078."
"ARUNODEEP EDUCATIONAL TRUST","BSG-4-00141-2023-24, Bengaluru (KARNATAKA)","SY -14/2,15/1.15/2 F NO-705, ""B"" BLOCK G K GOLDEN CITY, KUDLU, SARJAPURA HOBLI, ANEKAL TALUK, BANGALORE"
"Adamya Rangasamskruti Trust","BSG-4-00180-2010-11, Bangalore (KARNATAKA)","No.89, Ramajyothinagar, Dubasipalya Road, R V Engineering College Post, Mysore Road, Bangalore"
"AAHWAHAN FOUNDATION","BSG-4-00351/2016-17, BANGALORE (KARNATAKA)","No.40, South End Main Road, Jayanagar 9th Block, Bangalore-560069"
"ADITYA EDUCATIONAL TRUST","BSKD121, Bangalore (KARNATAKA)","No.174/40, Lucky Paradise, 8th F-Main,22nd Cross, 3rd Block, Jayanagar, angalore."
"ASDA INTERNATIONAL TRUST","BYP-4-00288-2024-25, bengaluru (KARNATAKA)","Number 39, 2nd floor, 2nd block, MIG 707,ynk newtown, bangalore 560064"
"ARSH HUMAN NEEDS FOUNDATION","CA NO-1433/20-21, BANGALORE (KARNATAKA)","No 48,Ground Floor, Arsh Township,5th Main Road, Jayamahal, Bangalore -560046"
"ASHA KIRANA FOUNDATION","CAN-4-00041-2009-10, Channapatna (KARNATAKA)","No.01, Kunthurudoddi, Mylanayakanahalli Post, Channapatna Taluk"
"ARUNYA FOUNDATION","CD NO MGCD618, Mangaluru (KARNATAKA)","1 N-6-453/16, 1st Floor, M/s Super Automobiles, NH-66, Daddalkad, Ashok Nagar Post, Near Canara Sales"
"AASHIRVAD TRUST","CKB-4-00083-2010-11, Chikkaballapura (KARNATAKA)","no.9,Mathrushree Nilaya,Thimmaka layout"
"ACHARYA VIDYADHISHTHANAM TRUST","CMP-4-00002-2024-25, Bengaluru (KARNATAKA)","No.191/23, 11th Main, 3rd Cross, VK Gokak Road, Hanumanthnagara"
"AAROHANA TRUST","CMP-4-00038-2022-23, Bangalore (KARNATAKA)","No.147, DVG Road, Behind Khadi Nation, Basavangudi, Bengaluru560004"
"ASG WELFARE AND CHARITABLE TRUST","CMP-4-00087 2019-20, BANGALORE (KARNATAKA)","NO 4013 K R ROAD BANASHANKARI 2ND STAGE"
"ASEEMA","CMP-4-00104-2020-21, Bangalore (KARNATAKA)","104, Srinivasa Nilaya, 4th Cross, Vittal Nagar, Chamarajpet, Bangalore"
"ABHYUDAYA","CRJ-4-00133-2020-21, Chamrajanagara (KARNATAKA)","Chikkatuppur Village Gundalpete Taluk Dist- Chamrajanagara"
"Action Initiative for Development AID","DA/76/2005-06, Jagalur (KARNATAKA)","Gowripura. Kyasenahalli post,Jagalur Taluk, Davanagere district, Pincode: 577528 Karnataka state, India. aidorg@yahoo.inaidngo6@gmail.com 91 9035247600. 9481309481"
"ARPANA FOUNDATION","DBR-4/SOR/89/16-17, BANGALORE (KARNATAKA)","795,5TH MAIN,WOC ROAD, NAGAPURA,BANGALORE 560086"
"AASHIANAA ANINSTITUTE FOR SPECIAL CHILDREN","DDmy/DDW/03/2019-20/169, MYSORE (KARNATAKA)","520 MAHADEVAPURA EXTENSION UDAYAGIRI MYSORE"
"Asare Foundation (R)","DIT(E)BLR/122/A-1221/AACTA9172, BANGALORE (KARNATAKA)","NO.26 B CROSS SRI ENCLAVE 4TH FLOOR NO. 402 AIRPORT ROAD MURGESHPALYA BANGALORE"
"ACHARYA SHILPA KALA SHAALE PRATHISTANA","DNH-4-01005-2023-24, BENGALURU RURAL (KARNATAKA)","No. 140 B.B. Road, Shilpa Kala Shale, Devanahalli Town,"
"ABHYUDAYA KENDRA","DR/ SOR/ 123 /96-97, BELGAUM (KARNATAKA)","GRATIA PLENA CONVENT SANTIBASTWAD"
"ASHA KIRANA GRAMEENA ABHIVRUDDHI SOUNSTHE","DR/GDG/SOR-281/2011-12, Gadag (KARNATAKA)","Near Jumma Mazid , Village Lakkundi, Taluk Gadag, Distict Gadag , State Karnataka, Pincode 582115"
"ACADEMIC INSTITUTE OF COMPUTER EDUCATION SOCIETY","DR/REV/SOCIETY/688/2008-09, BIJAPUR (KARNATAKA)","ACADEMIC INSTITUTE OF COMPUTER EDUCATION SOCIETY, NAGATHAN BUILDING ,NEAR CORPORATION BANK, BIJAPUR"
"Adarsh Education and Social Welfare Scty","DR/ROS/101/93-14, Belgaum (KARNATAKA)","Plot no 2688, M M Extension Belagavi"
"ASHAJYOTHI SC/ST MAHILA ABHIVRUDDHI KENDRA","DR/SOR/25/96-97, BELAGAVI (KARNATAKA)","Plot No. 10564/A5, Opp. Vidyadhiraj Kalyan Mantap, Dharmanath Circle, Ram Nagar, BELAGAVI"
"ARUNODAY EDUCATION SOCIETY HANDIGUND","DR/SOR/44/91-92, HANDIGUND (KARNATAKA)","ARUNODAY EDUCATION SOCIETY AP HANDIGUND TQ RAIBAG DIST BELAGAVI -591235"
"ARUNODAYA INTIGRATED COMMUNITY DEVELOPMENT SOCIETY","DR596/2008-09 DATED 29-11-2008, BENGALURU (KARNATAKA)","1/1, first main, MARENAHALAYY, VIJAYANAGAR, BENGALURU-40"
"ARYA LOTUS RESIDENTS WELFARE ASSOCIATION","DRB3/SOR/162/2023-24, Bangalore (KARNATAKA)","Arya Lotus, Abhayadhamma Road, D Silva Layout, Whitefield Bengaluru, Bengaluru Zone -3 Mahadevapura, Kadugodi"
"ABHAYA SEVA SAMITI SOCIAL WELFARE SOCIETY","DRB3/SOR/246/2018-2019, BANGALORE (KARNATAKA)","83, NEAR MARAMMA TEMPLE, SADARAMANGALA VILLAGE, KADUGODI POST, BANGALORE"
"ADITHYA LAND OWNERS WELFARE ASSOCIATION","DRB3/SOR/73/2024-2025, Bangalore (KARNATAKA)","NO.13 BRINDAVAN K.R DEFENCE COLONY PHASE 2 CHEEMASANDRA BIDARAHALLI BANGALORE BANGALORE ZONE 3 K.R. PURAM VIJINAPURA 560049"
"ASHADEEP SOCIAL WELFARE SOCIETY","DRBG/SOR/1077/2018-2019, BELGAUM (KARNATAKA)","CTS NO 1269/74, T3, ANNAPURNA KRUPA BUILDING, NEAR GOA VES, BELGAUM"
"AASARE FOUNDATION","DRBG/SOR/1389/2022-2023, BELGAUM (KARNATAKA)","PLOT NO 255, BUDA SCHEME 40 NISARGA COLONY, JAYANAGAR HINDALGA ROAD HINDALGA BELGAUM 591108"
"Aadhar Foundation Bedkihal","DRBG/SOR/1481/2017-2018, Chikodi (KARNATAKA)","TMC Plot no.2512/1118, Gandhi Market Shetty Galli , Chikodi -591201"
"ACHIRA FOUNDATION","DRBG/SOR/183/2018-19, Belgaum (KARNATAKA)","CTS NO, 712 B SECTOR NO:19,ANAJAEYA NAGAR , M M EXTENSION / A/P BELGAVI"
"ADARSHA SOCIAL FOUNDATION","DRBG/SOR/570/2021-2022, YADUR (KARNATAKA)","ADARSHA SOCIAL FOUNDATION DR. SUNKE BUILDING YADUR TQ.CHIKODI DIST.BELGAUM STATE KARNATAKA"
"AARADHYA FOUNDATION","DRBG/SOR/689/2020-21, KONNUR (KARNATAKA)","MAIN ROAD KONNUR"
"ASHA KIRANA MANAVA SAMPANMULA GRAMINA ABHIVRADDHI SANSTHE","DRBGK/54/2009-10, Bagalkot (KARNATAKA)","Ashakirana Manava Sampanmula Gramina Abhirvraddhi Sansthe Aluru L T (Dhrama Nagara) Hiregulabala Post Bagalkot"
"AADHAR EDUCATION AND RURAL DEVELOPMENT SOCIETY","DRBI/SOR/36/2018-19, BHALKI (KARNATAKA)","H NO 5-9-81/1(19) BEHIND APMC YARDBHALKI DIST BIDAR"
"AROHANA SOCITY FOR SOCIAL DEVELOPMENT SAMSTHE","DRBL/SOR/326/2018-2019, KUDLIGI (KARNATAKA)","AROHANA SOCIETY FOR SOCIAL DEVELOPMENT SAMSTHE 3RD WARD SRINIVASA NAGARKUDLIGI CITYKUDLIGI 583135BEELARYDISTRICT"
"adhishakthi ranga kalasamsthe","DRB-S/SOR/57/2012-13, Bangaluru (KARNATAKA)","81/1 Pujari building ,Appyanna Road,AK colony, konanakunte,Bangalore"
"ARYA VYSYA MANDALI","DRCB/SOR/214/2022-2023, GAURIBIDANUR (KARNATAKA)","SRI KANYAKAPARAMESHWARIDEVALAYA SANTHEBEEDI D .PALYAROAD MANCHENHALLITOWN MANCHENAHALLI TALUK GAURIBIDANUR -561211 CHIKKABALLAPUR"
"ADHIRAKSHANA SAMAJA SEVA SAMSTHE","DRCT/SOR/253/2019-2020, Chitradurga (KARNATAKA)","ADHIRAKSHANA SAMAJA SEVA SAMSTHE(R,)NEAR RAILWAY STATION CHITRADURGA-577501"
"ASARE MAHILA GRAMEENABHIVRUDDI SAMSTHE","DRDV/SOR/100/2020-2021, HARIHAR (KARNATAKA)","ASARE MAHILA GRAMEENABHIVRUDDI SAMSTHE, NO.1-102MAHALAKSHMI COLONY, GUTTUR, HARIHAR-577602 DAVANGERE"
"ABHAYA FOUNDATION","DRHA/SOR/352/2018-2019, HASSAN (KARNATAKA)","DOOR NO 51, VIJAYNAGAR 3RD STAGE HASSAN"
"Arunodaya Grameenabhivrudhi Vividhodeshgala Samsthe","DRJ/SOR/953/2016-17, BIJAPUR (KARNATAKA)","JORAPUR PET BABALESHWAR NAKA BIJAPUR 586101 KARNATAKA"
"Abhyudaya Grameenabhivrudhi Vividhoddeshgala Samsthe","DRJ/SOR/956, BABALESHWAR (KARNATAKA)","SHANTHAVEER CIRCLE BABALESHWAR 586113"
"ARUNODAYA GRAMABHIVRUDDI SAMSTHE","DRK/S-239/2016-17, MULBAGAL (KARNATAKA)","BEHIND A.D.A OFFICE, THYARAJA COLONY, MULBAGAL TOWN, KOLAR DIST 563131"
"ASHA KIRAN SEVA SAMSTHE NEAR MALENDRA MATH AFZALPUR","DRKB/SOR/14/2021-2022, AFZALPUR (KARNATAKA)","ASHA KIRAN SEVA SAMSTHE AT MALENDRA MATH COLONY BUS STAND ROAD AFZALPUR585301 KALABURGI"
"AARUSH GRAMEENA & RURAL SOCIETY","DRKB/SOR/312/2019-2020, KALABURGI (KARNATAKA)","AARUSH GRMEENA"
"AASARE RURAL DEVELOPMENT ORGANIZATION GANGAVATHI","DRKP/SOR/98/2018-2019, GANGAVATHI (KARNATAKA)","GANGAVATHI TQ-GANGAVATHI DIST-KOPPAL GANGAVATHI-582112"
"ADVAITH VISHWASTHA MANDALA","DRL/SOR/BGM/596/2016-17, BELAGAVI (KARNATAKA)","DR SV HIREMATH, NO 931, SHRI MAHALAXMI NILAYA, SCHEME 40, KUVEMPU NAGAR, BELAGAVI"
"A J M ENCLAVE LAYOUT ASSOCIATION","DRMY/SOR/358/2023-2024, MYSORE (KARNATAKA)","No. 74, 1st Stage, 2nd Cross, AJM Layout Rajiv Nagar Mysore-570019"
"ARYAVAISHYA MANDALI PETE HUNSUR","DRMY/SOR/692/2017-2018, HUNSUR (KARNATAKA)","SRI KANNIKA PARAMESHWARI DEVASTHANADA KATTADA S. G. ROAD HUNSUR MYSORE DISTRICT KARNATAKA"
"ASARE JANABHIRUDDI SAMSTHE","DRTU/SOR/519/2017-18, Tumkur (KARNATAKA)","Bharathi Nagara 1st cross behind industrial estate anganavadi near Tumkur572102 tumkur"
"ASHIRVAD SHAIKSHANIK HAGU GRAMEENABHIVRUDDI SAMSTHE","DRVJ/SOR/1227/2023-2024, HUBLI (KARNATAKA)","VIJAYAPURA ROAD VEERABHADRESHWAR NAGAR BASAVANA BAGEWADI 586203"
"AAM JANATA VIKAS SEVA SAMITI","DRZ/S/529/ 2016-17, HUBLI (KARNATAKA)","CHAMUNDESHWARI NAGAR, HUBLI, TALUK: HUBLI DISTRICT: DHARWAD STATE: KARNATAKA"
"ADARSH YUVAKA MANDAL","DRZ/SN/2019-20, Dharwad (KARNATAKA)","At post hireharakuni tq kundgol dist Dharwad 581113"
"AAPATHABANDHAVA","DRZ/SN/607/2016-17, HEBBALLI (KARNATAKA)","1451A, NAIKAR ONI, HEBBALLI"
"ADVAITA FOUNDATION","DSP-4-00020-2013-14, Bangalore Rural (KARNATAKA)","741, V Prasad Complex, 2nd Floor, Opp to Govt Hospital, Sulibele, Main Road, Hoskote Taluk,Bangalore"
"ADB FOUNDATION TRUST","DVD-04-00071-2021-2022, devadurga (KARNATAKA)","ADB Foundation trust H no 66 Devatagal Tq devadurga Dist Raichur"
"AASHRAYA FOUNDATION","DVG-4-00290-2023-24, Davangere (KARNATAKA)","MCC b block Davangere"
"ABHAYA SPANDHANA","DVG-SO401-2010-11, DAVANGERE (KARNATAKA)","ABHAYA SPANDANA AKKAMAHADEVI ROAD PJ EXTENSION DAVANAGERE DISTRICT DAVANGERE"
"ACADEMY OF COMPARATIVE PHILOSOPHY AND RELIGION","E-233(BGM), BELGAUM (KARNATAKA)","GURUDEV RANADE MANDIR HINDWADI BELGAUM"
"ASHAKIRAN TRUST REGD","E283KWR, Siddapur (KARNATAKA)","Haladakatta,Siddapur,Uttara kannada"
"ADARSHYA SHIKSHAN SAMSTA","E751(BGM), GOKAK (KARNATAKA)","ADARSHYA SHIKSHAN SAMSTA BANAGAR GALLI GOKAK-591307"
"Adichunchanagiri University","ED254URC2017, B G Nagara (KARNATAKA)","Adichunchanagiri University B.G. Nagara, Mandya District, KARNATAKA 571448, INDIA"
"Action Aid","F00846, BANGALORE (KARNATAKA)","139 RICHMOND ROAD Bangalore"
"ADRES NOW INTERNATIONAL CENTRE","GAN-4-00013-2020-21, Bangalore (KARNATAKA)","63, Palace Road Vasanthnagar"
"AAKRITII NGO","GAN-4-00052-2024-25, BENGALURU (KARNATAKA)","31, 2nd Main Rd, Venkatagowda Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024"
"ACHARYA SHANTI SAGAR FOUNDATION","GAN-4-00431-2018-19 , BANGALORE (KARNATAKA)","GOLDEN ENCLAVE,5TH FLOOR,CORPORATE BLOCK, TOWER B1,HAL OLD AIRPORT ROAD,BANGALORE-560017"
"2 POWER 5 CHARITABLE TRUST","GAN400486200506, BANGALORE (KARNATAKA)","D11 308 WHITE HOUSE RT NAGAR"
"ADVAITAPEETAM TRUST","GDB-4-00004-2020-21, BANGALORE (KARNATAKA)","7/2, SMB ASHRAMA, VITTAL NAGAR, NEAR MULKATAMMA TEMPLE, CHAMRAJPET, BANGALORE-560018"
"ASHA JYOTI EDUCATIONAL & CHARITABLE TRUST","GLB-4-00155-2023-24, GULBARGA (KARNATAKA)","H NO 117 KHB COLONY, SHANTI NAGAR, OPP. SHOLAPUR NURSING HOME, MSK MILL ROAD"
"AS SALAM CHARITABLE TRUST","HBB-4-00132-2024-25, BANGALORE (KARNATAKA)","1 SURVEY 5 ,KASABA HOBLI BHOOPSANDRA BENGALURU , KARNATAKA"
"ACADEMY FOR CREATIVE TEACHING TRUST","HBB-400190-2013, Banglore (KARNATAKA)","480, 6th Main, HMT Colony, Opp Bus Depot, R T Nagar"
"ADHIKA JIVANA","HLS-4-00111-2013-14, Banglore (KARNATAKA)","15, Cockburn Road,Bangalore"
"ADI DRAVIDA VIDYA TRUST (S.C)","HNL-4-00022-2019-20, DAVANAGERE (KARNATAKA)","ADI DRAVIDA VIDYA TRUST (S.C) SASVEHALLI HONNALI TQ DAVANAGERE DIST. 577224"
"AAKAR AADHAR","HRR-4-00049-2021-22, DAVANAGERE (KARNATAKA)","KSSIDC, INDUSTRIAL ESTATE, Harapanahalli road, harihar-577601"
"AAPTAS AYURVEDA TRUST","HVR-4-00114-2023-24, Haveri (KARNATAKA)","Aaptas Ayurveda Trust (R) Shri Shiva Nilaya Kabburu- 581110"
"ARUNODAYA SHIKSHANA AROGYA MATTU KRUSHI ABHIRUDDI SWAYAM SEVA SAMSTHE","HVR-S27-2006-07, RANEBENNUR (KARNATAKA)","ARUNODAYA SHIKSHANA AROGYA MATTU KRUSHI ABIVRUDDI SEVA SAMSTHE. (R) RAHUTANAKATTI C/O SRI RAM COMPLEX ASHOK NAGARA 3RD CROSS RANEBENNUR DIST HAVERI STATE KARNATAKA 581115"
"A Hundred Hands","IN KA275887416941221, bangalore (KARNATAKA)","4 Ashley Road Off MG Road Bangalore 560025"
"A Dharma Sastha foundation","INR-4-00009-2020-21, BANGALORE (KARNATAKA)","no 51 19th cross Lakshmipuram Halasuru Bangalore North"
"AASHIKA SOCIAL SERVICE EDUCATIONAL TRUST","INR-4-00098-2020-21, Bengaluru (KARNATAKA)","No 27th, 5th Cross, 2nd Main, Gowthamapuram, Halasuru, Bengaluru 560008"
"101 REPORTERS MEDIA CHARITABLE TRUST","INR-4-00638-2019-20, BANGALORE (KARNATAKA)","NO.3071 , 11TH MAINROAD, 10TH CROSS, HAL 2ND STAGE, INDIRANAGAR"
"Abhishek Charitable Trust","IV 50/2013-14, Bangalore (KARNATAKA)","Abhishek Nethradhama, mosque complex, opposite Rajkamal theatre, Fort road, Dodballapur-561203 Bangalore rural district,"
"AASARE GRAMINA SEVA TRUST","IV244/23-24, BAGEPALLI (KARNATAKA)","159 4TH WARD BEHIND SHANTHINIKETHAN SCHOOL BAGEPALLI TOWN"
"ABHAYA KALPA FOUNDATION TRUST","IV-436/95-96 , BENGALURU (KARNATAKA)","69 10TH MAIN 2ND STG MARENAHALLI BINNY LAYOUT VIJAYANAGAR BENGALURU"
"ABHAYAHASTHA SEVA TRUST","IV74/2023-24, BAGEPALLI (KARNATAKA)","878 NEAR SLV DRIVING SCHOOL DVG ROAD GHANTAMVARIPALLI VILLAGE HOSHUDYA POST"
"artha academic foundation","JAY400094201718, BANGALORE (KARNATAKA)","203 2ND FLOOR KISHORE PARAMOUNT APARTMENT JHCS"
"AA KRISHNA EDUCATION TRUST","JAY-4-00751-2018-19, Bangalore (KARNATAKA)","No.214, Vinayaka Nagar, (Behind Udupi Grand Restaurant),Gunjur Post, Varthur Road, Bangalore 560087"
"ARTHA CHARITABLE TRUST","JGN-4-00001-2019-20, BANGLORE BANNERGATTA (KARNATAKA)","ARTHA CHARITABLE TRUST SY/No : 22/2 , bannerghatta biological park 1st gate opposite bannerghatta post bangalore 560083"
"ARUNDHATHI CHARITABLE TRUST","JPN-4-00069-2023-24, BANGALORE (KARNATAKA)","562 NEAR BWSSB QUARTERS KUPPAREDDYKERE ROAD THATHAGUNI P O KK PURA MN ROAG BANGALORE560082"
"1NGO","JPN-4-00367-2019-2020, Bangalore (KARNATAKA)","641, Sobha Dew Flower, Sarakki Main Road, JP NagarBengaluru 560078"
"ADARSH EDUCATION AND MULTIPURPOSE WELFARE TRUST","JVG-4-00032-2010-11, TQ JEWARGI DIST GULBARGA (KARNATAKA)","ADARSH EDUCATION AND MULTIPURPOSE WELFARE TRUST AT POST GANWAR TQ JEWARGI DIST GULBARGA 585303"
"AASHNA FOUNDATION","KA /DWR/ HUB /IV-42, HUBLI (KARNATAKA)","AASHNA FOUNDATION 134 BHANDIWAD BASE PHATTER PHOD STREET"
